Nxt Nxt 	NXT 	$659,278,055 	$0.659938 	998,999,942 * 	$201,740,965 	1.87% 	24.42% 	-64.41%
Ark Ark 	ARK 	$637,913,111 	$6.51 	97,981,284 * 	$11,770,520 	-0.12% 	-6.83% 	2.32%
Golem Golem 	GNT 	$589,057,220 	$0.706082 	834,262,000 * 	$17,735,137 	-0.05% 	-5.68% 	20.68%
VeChain VeChain 	VEN 	$578,351,888 	$2.09 	277,162,633 * 	$91,172,654 	0.29% 	-8.11% 	59.79%
Status Status 	SNT 	$571,337,165 	$0.164628 	3,470,483,788 * 	$43,878,600 	0.35% 	-0.29% 	21.77%
Decred Decred 	DCR 	$567,937,351 	$87.89 	6,462,023 	$3,509,269 	0.42% 	-2.99% 	5.50%
PIVX PIVX 	PIVX 	$531,053,092 	$9.61 	55,245,295 * 	$6,202,733 	-0.13% 	-5.71% 	-21.40%
MonaCoin MonaCoin 	MONA 	$516,818,542 	$9.17 	56,385,179 	$10,443,822 	0.17% 	-9.52% 	-14.58%
WAX WAX 	WAX 	$492,633,440 	$0.999349 	492,954,537 * 	$18,623,407 	-0.19% 	1.40% 	35.35%
Byteball Bytes Byteball Bytes 	GBYTE 	$434,058,738 	$672.73 	645,222 * 	$1,529,162 	-0.05% 	-6.09% 	8.55%
ZCoin ZCoin 	XZC 	$427,526,439 	$113.18 	3,777,425 	$18,632,844 	-0.03% 	1.34% 	42.41%
Electroneum Electroneum 	ETN 	$384,949,332 	$0.077028 	4,997,507,466 	$5,111,199 	0.17% 	-2.28% 	-18.68%
TenX TenX 	PAY 	$380,754,057 	$3.64 	104,661,310 * 	$13,393,327 	0.63% 	-3.66% 	-13.10%
Syscoin Syscoin 	SYS 	$376,978,148 	$0.711397 	529,912,772 	$16,176,908 	0.10% 	-6.43% 	25.39%
FunFair FunFair 	FUN 	$374,796,208 	$0.088190 	4,249,873,622 * 	$68,683,779 	1.17% 	52.04% 	59.06%
Factom Factom 	FCT 	$366,340,103 	$41.89 	8,745,102 * 	$18,528,167 	0.38% 	-1.25% 	21.37%
MaidSafeCoin MaidSafeCoin 	MAID 	$362,373,344 	$0.800732 	452,552,412 * 	$5,641,383 	0.63% 	-4.92% 	3.59%
Basic Attention Token Basic Attenti... 	BAT 	$359,462,715 	$0.359463 	1,000,000,000 * 	$14,023,000 	0.61% 	2.84% 	15.34%
BitcoinDark BitcoinDark 	BTCD 	$350,245,205 	$271.75 	1,288,862 	$347,477 	0.31% 	-6.81% 	-12.69%
0x 0x 	ZRX 	$348,841,312 	$0.734506 	474,933,265 * 	$13,564,058 	0.77% 	12.72% 	17.19%
Bytom Bytom 	BTM 	$322,675,157 	$0.326925 	987,000,000 * 	$13,136,353 	-0.14% 	-4.51% 	0.36%
Skycoin Skycoin 	SKY 	$318,049,628 	$47.01 	6,765,522 * 	$1,280,881 	0.02% 	-1.02% 	176.80%
Experience Points Experience Po... 	XP 	$316,565,175 	$0.001602 	197,656,837,061 	$10,776,955 	9.87% 	122.02% 	711.48%
Kyber Network Kyber Network 	KNC 	$315,447,839 	$2.35 	134,132,697 * 	$12,240,591 	0.45% 	1.50% 	10.52%
Storj Storj 	STORJ 	$312,844,739 	$2.36 	132,342,914 * 	$130,235,715 	0.77% 	48.80% 	80.39%
DigixDAO DigixDAO 	DGD 	$307,850,729 	$153.93 	2,000,000 * 	$3,983,553 	-0.03% 	-0.93% 	7.14%
Santiment Network Token Santiment Net... 	SAN 	$303,000,303 	$5.01 	60,522,686 * 	$5,686,485 	-0.21% 	-5.32% 	-17.01%
Power Ledger Power Ledger 	POWR 	$302,117,060 	$0.848108 	356,224,783 * 	$14,782,510 	0.15% 	-3.26% 	-7.90%
Aion Aion 	AION 	$301,023,632 	$4.91 	61,299,856 * 	$13,978,752 	-0.28% 	6.50% 	23.72%
QASH QASH 	QASH 	$291,137,502 	$0.831821 	350,000,000 * 	$9,524,454 	-0.09% 	-3.74% 	0.83%
Aeternity Aeternity 	AE 	$284,596,869 	$1.22 	233,020,472 * 	$1,663,950 	0.02% 	-3.74% 	-0.85%
KuCoin Shares KuCoin Shares 	KCS 	$276,918,174 	$3.04 	91,043,076 * 	$3,229,888 	0.64% 	4.19% 	260.94%
Civic Civic 	CVC 	$273,049,428 	$0.796759 	342,700,000 * 	$17,324,373 	0.03% 	-5.59% 	19.89%
Vertcoin Vertcoin 	VTC 	$267,446,370 	$6.33 	42,274,835 	$8,994,508 	-0.20% 	-3.82% 	-16.36%
Walton Walton 	WTC 	$265,368,708 	$10.66 	24,898,178 * 	$18,978,437 	0.37% 	-1.14% 	-25.94%
Request Network Request Network 	REQ 	$263,077,665 	$0.410559 	640,779,733 * 	$21,305,923 	0.66% 	16.71% 	49.77%
Iconomi Iconomi 	ICN 	$261,001,128 	$2.62 	99,788,314 * 	$7,202,455 	-0.02% 	16.80% 	32.06%
GameCredits GameCredits 	GAME 	$255,843,624 	$3.98 	64,355,352 	$4,440,155 	-0.30% 	-4.74% 	11.66%
ReddCoin ReddCoin 	RDD 	$255,659,933 	$0.008905 	28,710,277,061 * 	$14,534,122 	0.14% 	-8.21% 	-12.49%
Dragonchain Dragonchain 	DRGN 	$253,976,727 	$1.07 	238,421,940 * 	$3,091,463 	3.49% 	24.16% 	28.93%
Gas Gas 	GAS 	$251,868,773 	$27.56 	9,137,582 * 	$8,949,574 	0.36% 	5.98% 	4.83%
Substratum Substratum 	SUB 	$235,120,904 	$1.04 	226,091,449 * 	$7,671,882 	0.42% 	-2.10% 	59.90%
Po.et Po.et 	POE 	$233,438,865 	$0.107254 	2,176,495,390 * 	$267,950,861 	-0.16% 	74.12% 	228.96%
aelf aelf 	ELF 	$223,008,536 	$0.892034 	250,000,000 * 	$81,632,572 	0.05% 	-4.10% 	-13.98%
Decentraland Decentraland 	MANA 	$220,826,341 	$0.097120 	2,273,755,650 * 	$30,154,090 	-0.27% 	10.75% 	12.39%
SmartCash SmartCash 	SMART 	$213,599,909 	$0.403370 	529,538,927 	$802,290 	-1.15% 	-15.44% 	127.64%
Kin Kin 	KIN 	$210,917,353 	$0.000279 	756,097,560,976 * 	$1,236,157 	2.50% 	12.98% 	120.87%
Ubiq Ubiq 	UBQ 	$207,317,308 	$5.32 	38,957,331 	$3,435,572 	0.31% 	0.04% 	22.17%
Gnosis Gnosis 	GNO 	$206,866,267 	$187.28 	1,104,590 * 	$2,261,344 	-0.20% 	-7.90% 	15.06%
Raiden Network Token Raiden Networ... 	RDN 	$206,474,197 	$4.12 	50,148,936 * 	$11,145,602 	0.11% 	-0.26% 	24.58%
Bancor Bancor 	BNT 	$200,438,382 	$4.92 	40,772,871 * 	$7,767,344 	0.15% 	-2.34% 	31.71%
GXShares GXShares 	GXS 	$199,383,613 	$4.92 	40,510,000 * 	$7,914,868 	-0.01% 	-3.87% 	2.70%
Blocknet Blocknet 	BLOCK 	$198,953,921 	$40.19 	4,950,091 * 	$482,629 	-0.17% 	-1.39% 	20.23%
Dent Dent 	DENT 	$198,136,543 	$0.018666 	10,614,760,961 * 	$7,226,559 	0.48% 	-1.72% 	15.03%
Ethos Ethos 	ETHOS 	$194,895,546 	$2.58 	75,401,962 * 	$7,468,530 	0.70% 	5.75% 	-10.18%
ChainLink ChainLink 	LINK 	$190,567,879 	$0.544480 	350,000,000 * 	$10,151,911 	0.73% 	15.25% 	4.83%
Monaco Monaco 	MCO 	$189,788,580 	$14.50 	13,085,542 * 	$51,106,847 	0.09% 	-5.41% 	-15.10%
Quantstamp Quantstamp 	QSP 	$188,227,203 	$0.304913 	617,314,171 * 	$35,803,963 	1.93% 	32.95% 	93.86%
Cryptonex Cryptonex 	CNX 	$185,658,789 	$4.14 	45,039,789 	$179,057 	0.44% 	-5.23% 	-13.62%
Enigma Enigma 	ENG 	$184,872,495 	$2.47 	74,836,171 * 	$17,628,692 	-0.43% 	7.00% 	106.57%
Triggers Triggers 	TRIG 	$182,996,034 	$5.70 	32,105,578 * 	$12,230,712 	0.85% 	-7.05% 	182.25%
NAV Coin NAV Coin 	NAV 	$182,634,103 	$2.93 	62,239,549 * 	$5,635,787 	0.11% 	-8.44% 	28.04%
ETHLend ETHLend 	LEND 	$178,425,535 	$0.176152 	1,012,907,733 * 	$53,680,440 	0.48% 	-0.54% 	183.74%
Ripio Credit Network Ripio Credit ... 	RCN 	$177,534,815 	$0.363032 	489,033,009 * 	$29,247,725 	0.05% 	-4.99% 	69.70%
