Syscoin Syscoin 	SYS 	$4,811,632 	$0.009222 	521,765,238 	$22,012 	-0.09% 	6.05% 	12.71%
YbCoin YbCoin 	YBC 	$4,789,360 	$1.59 	3,017,832 * 	$480,205 	-0.03% 	-1.15% 	6.83%
Counterparty Counterparty 	XCP 	$4,551,608 	$1.74 	2,620,733 * 	$33,106 	0.20% 	-6.10% 	-5.83%
BitcoinDark BitcoinDark 	BTCD 	$4,436,829 	$3.44 	1,288,862 	$2,566 	-0.09% 	3.15% 	3.95%
Global Currency Reserve Global Curren... 	GCR 	$3,499,312 	$0.034306 	102,002,366 * 	$1,189 	0.06% 	1.11% 	6.93%
Namecoin Namecoin 	NMC 	$3,419,201 	$0.232024 	14,736,400 	$16,147 	0.12% 	0.72% 	4.69%
PotCoin PotCoin 	POT 	$3,289,044 	$0.015279 	215,267,137 * 	$186,554 	0.08% 	-0.04% 	-1.23%
Synereo Synereo 	AMP 	$3,240,314 	$0.039393 	82,256,324 * 	$19,721 	-0.16% 	-0.10% 	1.88%
SolarCoin SolarCoin 	SLR 	$2,842,869 	$0.081783 	34,760,932 * 	$3,491 	0.12% 	1.39% 	5.42%
GridCoin GridCoin 	GRC 	$2,799,276 	$0.007281 	384,443,964 	$8,778 	0.11% 	23.99% 	58.89%
vSlice vSlice 	VSL 	$2,744,362 	$0.082190 	33,390,496 * 	$22,322 	0.51% 	-16.81% 	149.12%
Yocoin Yocoin 	YOC 	$2,709,255 	$0.042466 	63,798,830 * 	$70,715 	5.18% 	-1.62% 	81.23%
NAV Coin NAV Coin 	NAV 	$2,353,207 	$0.038902 	60,490,167 * 	$48,593 	0.18% 	-1.13% 	12.72%
BlackCoin BlackCoin 	BLK 	$2,094,238 	$0.027602 	75,873,959 * 	$6,127 	0.14% 	0.35% 	3.85%
DigiByte DigiByte 	DGB 	$1,983,193 	$0.000255 	7,778,343,404 	$7,296 	-0.11% 	-0.38% 	18.04%
Clams Clams 	CLAM 	$1,783,564 	$0.863682 	2,065,070 * 	$4,264 	0.06% 	2.71% 	6.76%
Decred Decred 	DCR 	$1,647,394 	$0.474144 	3,474,459 	$7,803 	0.12% 	1.29% 	6.59%
SuperNET SuperNET 	UNITY 	$1,615,893 	$1.98 	816,061 * 	$86 	0.36% 	-0.39% 	10.49%
Omni Omni 	OMNI 	$1,614,093 	$2.91 	555,280 * 	$549 	0.47% 	8.10% 	3.00%
FairCoin FairCoin 	FAIR 	$1,586,492 	$0.029992 	52,896,892 * 	$380 	-0.45% 	-2.40% 	38.19%
Lykke Lykke 	LKK 	$1,495,854 	$0.049862 	30,000,000 * 	$9,680 	0.00% 	-0.05% 	3.61%
FedoraCoin FedoraCoin 	TIPS 	$1,457,957 	$0.000003 	443,168,182,458 	$4,233 	-1.90% 	7.36% 	51.32%
Byteball Bytes Byteball Bytes 	GBYTE 	$1,456,894 	$14.57 	100,000 * 	$21,880 	1.96% 	50.58% 	?
VPNCoin VPNCoin 	VASH 	$1,400,030 	$0.003497 	400,339,746 * 	$19,545 	-0.30% 	2.32% 	9.34%
Scotcoin Scotcoin 	SCOT 	$1,399,971 	$0.001400 	1,000,000,000 * 	$44 	-1.05% 	-10.53% 	-1.95%
Qwark Qwark 	QWARK 	$1,382,334 	$0.022176 	62,335,578 * 	$351 	-0.25% 	-2.74% 	-15.93%
Aeon Aeon 	AEON 	$1,359,547 	$0.102515 	13,261,901 	$1,630 	0.45% 	5.76% 	83.08%
Round Round 	ROUND 	$1,349,628 	$0.001588 	850,000,000 * 	$9,730 	-0.41% 	2.18% 	-9.00%
Nexium Nexium 	NXC 	$1,306,592 	$0.015372 	85,000,000 * 	$28,993 	-0.33% 	11.34% 	29.16%
FuelCoin FuelCoin 	FC2 	$1,233,551 	$0.012187 	101,221,864 	$2,546 	0.69% 	-5.88% 	30.30%
Steem Dollars Steem Dollars 	SBD 	$1,200,838 	$1.00 	1,197,622 * 	$3,459 	-0.13% 	0.27% 	0.00%
Nexus Nexus 	NXS 	$1,186,180 	$0.026049 	45,537,017 	$848 	-0.40% 	-4.23% 	1.20%
SIBCoin SIBCoin 	SIB 	$1,183,385 	$0.090674 	13,050,968 	$2,838 	-0.10% 	-3.24% 	8.68%
Vertcoin Vertcoin 	VTC 	$1,110,479 	$0.034649 	32,049,700 	$2,349 	-0.12% 	-0.31% 	13.24%
Auroracoin Auroracoin 	AUR 	$1,097,011 	$0.126703 	8,658,139 	$3,953 	-0.79% 	11.43% 	31.37%
Veros Veros 	VRS 	$1,095,038 	$0.071875 	15,235,212 * 	$4,092 	0.50% 	2.76% 	-6.43%
Hacker Gold Hacker Gold 	HKG 	$1,053,875 	$0.065414 	16,110,893 * 	$485 	-0.78% 	2.35% 	1.58%
MonaCoin MonaCoin 	MONA 	$1,045,597 	$0.023957 	43,643,952 	$937 	-0.05% 	3.24% 	1.31%
EarthCoin EarthCoin 	EAC 	$997,129 	$0.000107 	9,346,468,332 	$3,409 	-0.08% 	-2.16% 	-3.69%
Expanse Expanse 	EXP 	$924,716 	$0.191304 	4,833,755 	$1,398 	-0.03% 	2.41% 	-6.10%
Curecoin Curecoin 	CURE 	$916,408 	$0.034671 	26,431,310 	$1,046 	0.67% 	3.08% 	1.62%
Burst Burst 	BURST 	$905,847 	$0.000543 	1,669,359,963 	$4,288 	0.17% 	0.73% 	-6.96%
Radium Radium 	RADS 	$892,914 	$0.290466 	3,074,075 * 	$873 	-0.22% 	0.36% 	-9.48%
BitBay BitBay 	BAY 	$887,920 	$0.000882 	1,006,941,682 * 	$1,671 	-0.42% 	-0.52% 	3.70%
CloakCoin CloakCoin 	CLOAK 	$882,816 	$0.182049 	4,849,340 * 	$396 	0.13% 	-3.06% 	-8.41%
Feathercoin Feathercoin 	FTC 	$868,328 	$0.005901 	147,158,409 	$2,691 	0.08% 	-2.52% 	-9.27%
Primecoin Primecoin 	XPM 	$867,114 	$0.049794 	17,413,902 	$3,937 	-0.03% 	-0.75% 	-4.19%
HiCoin HiCoin 	XHI 	$812,756 	$0.004284 	189,729,990 	$12,772 	-0.66% 	1.20% 	-14.13%
Novacoin Novacoin 	NVC 	$798,052 	$0.500231 	1,595,366 	$7,620 	0.12% 	6.46% 	18.94%
Boolberry Boolberry 	BBR 	$760,536 	$0.086761 	8,765,834 	$1,251 	0.04% 	5.27% 	21.25%
NautilusCoin NautilusCoin 	NAUT 	$756,271 	$0.046741 	16,180,000 * 	$41,737 	-0.40% 	4.16% 	18.48%
NuBits NuBits 	USNBT 	$754,705 	$0.996858 	757,084 * 	$19,865 	-0.02% 	-0.42% 	-0.15%
Viacoin Viacoin 	VIA 	$753,392 	$0.033855 	22,253,599 	$8,066 	-0.06% 	-2.11% 	43.33%
Qora Qora 	QORA 	$740,595 	$0.000074 	10,000,000,000 * 	$1,061 	-0.45% 	5.62% 	14.52%
Mintcoin Mintcoin 	MINT 	$713,603 	$0.000030 	23,998,061,307 * 	$22 	0.10% 	25.46% 	9.32%
Energycoin Energycoin 	ENRG 	$705,492 	$0.005853 	120,532,791 	$237 	1.52% 	6.22% 	36.97%
VeriCoin VeriCoin 	VRC 	$694,853 	$0.023254 	29,881,589 	$998 	0.02% 	-3.44% 	9.19%
Adzcoin Adzcoin 	ADZ 	$627,882 	$0.012353 	50,827,594 	$2,446 	0.14% 	-21.69% 	-18.92%
ReddCoin ReddCoin 	RDD 	$616,762 	$0.000022 	28,279,196,459 * 	$581 	0.46% 	11.37% 	-9.53%
GoldCoin GoldCoin 	GLD 	$598,254 	$0.014993 	39,901,879 	$1,322 	-0.05% 	-0.14% 	-2.21%
Quark Quark 	QRK 	$584,342 	$0.002336 	250,101,047 	$15 	-2.13% 	-17.97% 	-35.15%
Asiadigicoin Asiadigicoin 	ADCN 	$556,095 	$0.063410 	8,769,863 	$12,886 	0.30% 	-0.04% 	9.31%
Vcash Vcash 	XVC 	$552,193 	$0.036655 	15,064,750 	$1,215 	-0.14% 	-1.07% 	11.74%
DigitalNote DigitalNote 	XDN 	$549,319 	$0.000080 	6,873,060,233 	$1,675 	-0.63% 	-6.00% 	-8.57%
OKCash OKCash 	OK 	$547,520 	$0.007877 	69,509,849 * 	$607 	-0.12% 	0.63% 	13.69%
BlockPay BlockPay 	BLOCKPAY 	$531,905 	$0.097987 	5,428,300 * 	$24 	0.15% 	0.98% 	-16.48%
Mooncoin Mooncoin 	MOON 	$527,055 	$0.000002 	219,472,462,764 	$251 	-1.77% 	-17.96% 	148.09%
WorldCoin WorldCoin 	WDC 	$520,734 	$0.004660 	111,736,986 	$536 	0.42% 	-4.42% 	-33.86%
Breakout Stake Breakout Stake 	BRX 	$496,353 	$0.079187 	6,268,082 * 	$17 	1.11% 	-1.96% 	-20.43%
SaluS SaluS 	SLS 	$489,515 	$0.488348 	1,002,390 * 	$47 	0.09% 	-25.42% 	44.55%
Megacoin Megacoin 	MEC 	$474,305 	$0.014423 	32,886,450 	$785 	-0.09% 	0.79% 	-0.60%
DubaiCoin DubaiCoin 	DBIC 	$472,165 	$0.079523 	5,937,465 	$625 	0.10% 	6.16% 	16.46%
FoldingCoin FoldingCoin 	FLDC 	$461,292 	$0.001015 	454,333,654 * 	$2,662 	0.10% 	-0.67% 	15.44%
Blocknet Blocknet 	BLOCK 	$441,310 	$0.112852 	3,910,516 * 	$3,598 	-0.81% 	7.17% 	21.88%
DNotes DNotes 	NOTE 	$436,272 	$0.003934 	110,895,736 	$508 	0.08% 	1.45% 	-12.48%
Infinitecoin Infinitecoin 	IFC 	$429,591 	$0.000005 	90,596,274,910 	$2,246 	-0.57% 	-5.54% 	-11.10%
OBITS OBITS 	OBITS 	$424,262 	$0.054783 	7,744,403 * 	$106 	0.18% 	-2.06% 	-9.05%
PLAY PLAY 	PLS 	$421,376 	$0.000211 	1,999,862,899 * 	$89 	-0.50% 	-3.09% 	-1.79%
TrumpCoin TrumpCoin 	TRUMP 	$408,061 	$0.062514 	6,527,494 	$2,387 	0.52% 	12.13% 	7.61%
LBRY Credits LBRY Credits 	LBC 	$403,410 	$0.010900 	37,008,736 	$2,134 	-0.13% 	-1.09% 	2.63%
Zetacoin Zetacoin 	ZET 	$398,821 	$0.002412 	165,326,268 	$621 	0.53% 	-2.06% 	-0.72%
Diamond Diamond 	DMD 	$395,064 	$0.208711 	1,892,875 	$1,501 	-0.60% 	3.97% 	18.86%
BoostCoin BoostCoin 	BOST 	$387,226 	$0.032662 	11,855,487 	$175 	0.02% 	38.26% 	2.62%
Circuits of Value Circuits of V... 	COVAL 	$377,490 	$0.000944 	400,000,000 * 	$6,520 	0.10% 	1.06% 	9.56%
Startcoin Startcoin 	START 	$375,548 	$0.008331 	45,079,785 	$712 	-0.51% 	-3.11% 	16.28%
LuckChain LuckChain 	BASH 	$375,547 	$0.000379 	989,985,593 	$107 	0.35% 	-6.98% 	-4.95%
